Date,next_date,Strategy_Return,Long_Stocks,Short_Stocks,Cumulative_Return
2024-09-23,2024-10-07,-0.0008294151826450189,"HDFCBANK, KOTAKBANK, SBIN","RELIANCE, INFY, ITC",1.0045224417284833
2024-10-07,2024-10-21,0.003965844278614004,"KOTAKBANK, ICICIBANK, ASIANPAINT","RELIANCE, SBIN, TCS",1.0085062213067515
2024-10-21,2024-11-04,-0.0004395074596171998,"KOTAKBANK, ASIANPAINT, ITC","HDFCBANK, RELIANCE, SBIN",1.0080629752994168
2024-11-04,2024-11-18,0.0024637581680546556,"KOTAKBANK, SBIN, RELIANCE","ASIANPAINT, HDFCBANK, ICICIBANK",1.0105465986887243
2024-11-18,2024-12-02,-0.003321186890109943,"ITC, KOTAKBANK, SBIN","ASIANPAINT, TCS, HDFCBANK",1.0071903845733141
2024-12-02,2024-12-16,0.004158235607595765,"SBIN, INFY, ITC","TCS, ASIANPAINT, RELIANCE",1.011378519494075
2024-12-16,2024-12-30,0.0022708372537679896,"INFY, LT, HDFCBANK","ASIANPAINT, SBIN, TCS",1.013675195513803
2024-12-30,2025-01-13,0.008913147680551233,"ICICIBANK, LT, ITC","SBIN, KOTAKBANK, HDFCBANK",1.0227102322315293
2025-01-13,2025-01-27,0.008819930495004022,"ICICIBANK, INFY, LT","KOTAKBANK, RELIANCE, SBIN",1.0317304653963408
2025-01-27,2025-02-10,0.03153231546420883,"INFY, HDFCBANK, LT","RELIANCE, ASIANPAINT, TCS",1.0642633159052532
2025-02-10,2025-02-24,-0.021369056846462828,"INFY, KOTAKBANK, ICICIBANK","ASIANPAINT, TCS, RELIANCE",1.041521012608069
2025-02-24,2025-03-10,0.00543582775031676,"SBIN, HDFCBANK, TCS","ASIANPAINT, ITC, KOTAKBANK",1.047182541430942
2025-03-10,2025-03-24,-0.01239320172141548,"TCS, SBIN, INFY","ICICIBANK, ASIANPAINT, LT",1.0342045969558438
2025-03-24,2025-04-07,-0.01748338200744698,"ITC, HDFCBANK, KOTAKBANK","ASIANPAINT, TCS, LT",1.016123202913407
2025-04-07,2025-04-21,-0.009116181184749807,"ICICIBANK, RELIANCE, ITC","KOTAKBANK, TCS, SBIN",1.0068600396896201
2025-04-21,2025-05-05,0.0014721536695369685,"ICICIBANK, RELIANCE, TCS","KOTAKBANK, ASIANPAINT, ITC",1.0083422923917593
2025-05-05,2025-05-19,-0.00042401351573624337,"KOTAKBANK, TCS, RELIANCE","ASIANPAINT, LT, INFY",1.0079147416312968
2025-05-19,2025-06-02,-0.01038445665581191,"KOTAKBANK, HDFCBANK, RELIANCE","ASIANPAINT, INFY, TCS",0.9974480946840728
2025-06-02,2025-06-16,-0.02332668742788536,"RELIANCE, HDFCBANK, ICICIBANK","KOTAKBANK, LT, ASIANPAINT",0.9741809347538376
2025-06-16,2025-06-30,-0.011968952744383905,"ITC, TCS, INFY","LT, HDFCBANK, ASIANPAINT",0.9625210091812891
