,Date,next_date,Strategy_Return,Long_Stocks,Short_Stocks,Cumulative_Return
44,2024-10-07,2024-10-21,-0.003705570882105803,"ICICIBANK, ASIANPAINT, ITC","RELIANCE, TCS, INFY",1.0023759040131084
45,2024-10-21,2024-11-04,-0.008818517231685663,"ASIANPAINT, ITC, TCS","HDFCBANK, RELIANCE, INFY",0.9935364348309422
46,2024-11-04,2024-11-18,0.019980219891717912,"KOTAKBANK, INFY, ITC","ASIANPAINT, ICICIBANK, LT",1.0133875112692978
47,2024-11-18,2024-12-02,0.0014064260302546424,"ITC, KOTAKBANK, SBIN","ASIANPAINT, TCS, ICICIBANK",1.014812765843882
48,2024-12-02,2024-12-16,0.0010091992442095524,"SBIN, ITC, KOTAKBANK","TCS, ASIANPAINT, RELIANCE",1.0158369141201857
49,2024-12-16,2024-12-30,0.000638931498283357,"LT, HDFCBANK, ITC","ASIANPAINT, SBIN, TCS",1.016485964321736
50,2024-12-30,2025-01-13,0.010730174825185658,"ICICIBANK, ITC, INFY","SBIN, HDFCBANK, ASIANPAINT",1.0273930364262556
51,2025-01-13,2025-01-27,0.008819930495004022,"ICICIBANK, INFY, LT","KOTAKBANK, RELIANCE, SBIN",1.0364545715985862
52,2025-01-27,2025-02-10,0.012055398180627069,"INFY, HDFCBANK, LT","RELIANCE, TCS, ITC",1.0489494441553384
53,2025-02-10,2025-02-24,-0.018924763851007314,"INFY, KOTAKBANK, ICICIBANK","TCS, ITC, LT",1.0290983236330533
54,2025-02-24,2025-03-10,-0.005899349523283827,"TCS, INFY, LT","ITC, KOTAKBANK, ICICIBANK",1.0230273129281164
55,2025-03-10,2025-03-24,-0.024220966182692743,"TCS, SBIN, INFY","ICICIBANK, ITC, KOTAKBANK",0.9982486029777135
56,2025-03-24,2025-04-07,-0.02043185462001683,"ITC, HDFCBANK, KOTAKBANK","TCS, ICICIBANK, INFY",0.9778525326470379
57,2025-04-07,2025-04-21,-0.012658996668328556,"ICICIBANK, ITC, LT","TCS, SBIN, INFY",0.9654739006941423
58,2025-04-21,2025-05-05,0.012755024622900015,"ICICIBANK, RELIANCE, SBIN","ITC, INFY, LT",0.9777885440702634
59,2025-05-05,2025-05-19,0.004634380161063277,"TCS, HDFCBANK, SBIN","LT, INFY, ITC",0.9823199879006176
60,2025-05-19,2025-06-02,-0.022152907653546838,"KOTAKBANK, HDFCBANK, SBIN","INFY, TCS, ICICIBANK",0.960558743922422
61,2025-06-02,2025-06-16,-0.026927992588372498,"RELIANCE, ICICIBANK, INFY","KOTAKBANK, ITC, SBIN",0.9346928251853827
62,2025-06-16,2025-06-30,-0.003352154327874229,"ITC, INFY, KOTAKBANK","LT, HDFCBANK, RELIANCE",0.9315595905862044
